date,close,pct_change,main_net_inflow,main_net_inflow_pct,super_large_net,super_large_pct,large_net,large_pct,medium_net,medium_pct,small_net,small_pct,stock_code
2025-10-17,22.45,-0.4,-58835514.0,-4.52,-59732314.0,-4.58,896800.0,0.07,13507072.0,1.04,45328464.0,3.48,601225
2025-10-20,22.9,2.0,-107805249.0,-7.68,-78407969.0,-5.59,-29397280.0,-2.09,6766528.0,0.48,101038704.0,7.2,601225
2025-10-21,22.52,-1.66,-114773187.0,-8.47,-91615923.0,-6.76,-23157264.0,-1.71,45458448.0,3.36,69314752.0,5.12,601225
2025-10-22,22.4,-0.53,-121877595.0,-15.61,-38246306.0,-4.9,-83631289.0,-10.71,91240863.0,11.68,30636736.0,3.92,601225
2025-10-23,22.75,1.56,103033876.0,9.68,25026900.0,2.35,78006976.0,7.33,-12456976.0,-1.17,-90576914.0,-8.51,601225
2025-10-24,22.76,0.04,-65051366.0,-7.41,-39828430.0,-4.54,-25222936.0,-2.88,117647608.0,13.41,-52596240.0,-6.0,601225
2025-10-27,22.85,0.4,-42257342.0,-4.51,-27936052.0,-2.98,-14321290.0,-1.53,-12579536.0,-1.34,54836896.0,5.86,601225
2025-10-28,22.63,-0.96,-12273915.0,-1.89,-15876501.0,-2.45,3602586.0,0.56,-14618735.0,-2.25,26892644.0,4.14,601225
2025-10-29,22.52,-0.49,-1454758.0,-0.29,9457736.0,1.9,-10912494.0,-2.19,-44165461.0,-8.85,45620220.0,9.15,601225
2025-10-30,22.91,1.73,23393962.0,2.38,8021001.0,0.81,15372961.0,1.56,8251808.0,0.84,-31645776.0,-3.21,601225
2025-10-31,22.7,-0.92,-19949612.0,-3.44,-20966979.0,-3.62,1017367.0,0.18,-7147582.0,-1.23,27097195.0,4.68,601225
2025-11-03,23.66,4.23,-891926.0,-0.07,23404714.0,1.91,-24296640.0,-1.98,-1272048.0,-0.1,2163984.0,0.18,601225
2025-11-04,23.55,-0.46,-39257146.0,-4.44,-23332888.0,-2.64,-15924258.0,-1.8,37013008.0,4.18,2244144.0,0.25,601225
2025-11-05,24.0,1.91,38654286.0,3.57,66274670.0,6.12,-27620384.0,-2.55,7472544.0,0.69,-46126832.0,-4.26,601225
2025-11-06,24.08,0.33,9689687.0,0.86,-8016804.0,-0.71,17706491.0,1.58,17027216.0,1.51,-26716896.0,-2.38,601225
2025-11-07,24.13,0.21,-35888094.0,-5.82,-12429712.0,-2.02,-23458382.0,-3.8,-5972365.0,-0.97,41860459.0,6.79,601225
2025-11-10,24.68,2.28,-53583694.0,-5.32,565865.0,0.06,-54149559.0,-5.38,91240688.0,9.06,-37656992.0,-3.74,601225
2025-11-11,24.12,-2.27,-115541279.0,-9.39,-61426895.0,-4.99,-54114384.0,-4.4,66897760.0,5.44,48643520.0,3.95,601225
2025-11-12,23.91,-0.87,-77673388.0,-12.73,-31950073.0,-5.24,-45723315.0,-7.5,9511734.0,1.56,68161654.0,11.18,601225
2025-11-13,24.08,0.71,-36414617.0,-4.81,-16318865.0,-2.15,-20095752.0,-2.65,9342293.0,1.23,27072325.0,3.57,601225
2025-11-14,23.62,-1.91,-11100238.0,-2.39,5370256.0,1.16,-16470494.0,-3.54,-122953.0,-0.03,11223190.0,2.42,601225
2025-11-17,24.03,1.74,-3942350.0,-0.6,7044115.0,1.07,-10986465.0,-1.67,38693975.0,5.88,-34751621.0,-5.28,601225
2025-11-18,23.53,-2.08,-63620327.0,-8.68,-18835330.0,-2.57,-44784997.0,-6.11,-11369758.0,-1.55,74990079.0,10.23,601225
2025-11-19,23.76,0.98,8095064.0,1.58,-13721967.0,-2.68,21817031.0,4.26,-3908104.0,-0.76,-4186959.0,-0.82,601225
2025-11-20,23.17,-2.48,-104439513.0,-17.42,-61873064.0,-10.32,-42566449.0,-7.1,-5736083.0,-0.96,110175597.0,18.38,601225
2025-11-21,22.9,-1.17,-125975724.0,-17.4,-63659799.0,-8.79,-62315925.0,-8.61,-11657866.0,-1.61,137633590.0,19.01,601225
2025-11-24,22.62,-1.22,89199931.0,10.34,5679915.0,0.66,83520016.0,9.68,-71107670.0,-8.24,-18092256.0,-2.1,601225
2025-11-25,22.7,0.35,4196311.0,0.69,7097846.0,1.17,-2901535.0,-0.48,-39271666.0,-6.45,35075356.0,5.76,601225
2025-11-26,22.48,-0.97,-1368877.0,-0.38,-1282395.0,-0.36,-86482.0,-0.02,9657436.0,2.71,-8288559.0,-2.33,601225
2025-11-27,23.04,2.49,-9733997.0,-1.57,2789956.0,0.45,-12523953.0,-2.01,-7253315.0,-1.17,16987312.0,2.73,601225
2025-11-28,22.68,-1.56,-6407550.0,-1.45,-11519242.0,-2.6,5111692.0,1.16,13393176.0,3.03,-6985627.0,-1.58,601225
2025-12-01,22.89,0.93,2622120.0,0.45,6345850.0,1.09,-3723730.0,-0.64,-15789987.0,-2.72,13167867.0,2.27,601225
2025-12-02,22.82,-0.31,-26355912.0,-4.95,-7477110.0,-1.4,-18878802.0,-3.55,-3430009.0,-0.64,29785922.0,5.59,601225
2025-12-03,22.62,-0.88,-10004793.0,-2.09,13539892.0,2.83,-23544685.0,-4.92,-53432082.0,-11.16,63436876.0,13.25,601225
2025-12-04,22.66,0.18,-2012425.0,-0.47,-19153495.0,-4.51,17141070.0,4.03,-25310623.0,-5.96,27323049.0,6.43,601225
2025-12-05,22.62,-0.18,-30932052.0,-6.95,-13102536.0,-2.94,-17829516.0,-4.0,-35237343.0,-7.91,66169397.0,14.86,601225
2025-12-08,22.29,-1.46,-7412762.0,-0.89,-49234849.0,-5.88,41822087.0,5.0,18918794.0,2.26,-11506027.0,-1.38,601225
2025-12-09,22.0,-1.3,18064286.0,3.06,-8610162.0,-1.46,26674448.0,4.52,-15654178.0,-2.65,-2410110.0,-0.41,601225
2025-12-10,21.89,-0.5,2303311.0,0.49,16258141.0,3.46,-13954830.0,-2.97,-10755090.0,-2.29,8451779.0,1.8,601225
2025-12-11,21.77,-0.55,-33802667.0,-5.29,8935398.0,1.4,-42738065.0,-6.69,-18773032.0,-2.94,52575707.0,8.23,601225
2025-12-12,21.86,0.41,-176632554.0,-11.28,-3942042.0,-0.25,-172690512.0,-11.03,-28154240.0,-1.8,204786800.0,13.08,601225
2025-12-15,21.56,-1.37,-92049946.0,-13.65,-20988550.0,-3.11,-71061396.0,-10.54,54972478.0,8.15,37077468.0,5.5,601225
2025-12-16,21.62,0.28,42798212.0,6.64,31675070.0,4.91,11123142.0,1.73,-33691561.0,-5.23,-9106650.0,-1.41,601225
2025-12-17,21.37,-1.16,7811372.0,1.29,10344000.0,1.71,-2532628.0,-0.42,-30046332.0,-4.96,22234960.0,3.67,601225
2025-12-18,22.17,3.74,73960740.0,7.68,20175403.0,2.1,53785337.0,5.59,-11659568.0,-1.21,-62301183.0,-6.47,601225
2025-12-19,21.8,-1.67,-58400554.0,-8.57,4873558.0,0.72,-63274112.0,-9.29,58484022.0,8.58,-83467.0,-0.01,601225
2025-12-22,21.99,0.87,-43438607.0,-6.13,12681143.0,1.79,-56119750.0,-7.92,-7178857.0,-1.01,50617464.0,7.14,601225
2025-12-23,21.8,-0.86,-46063199.0,-9.07,2090658.0,0.41,-48153857.0,-9.48,11669083.0,2.3,34394116.0,6.77,601225
2025-12-24,21.73,-0.32,-84963496.0,-12.63,-9037933.0,-1.34,-75925563.0,-11.29,20671259.0,3.07,64292237.0,9.56,601225
2025-12-25,21.63,-0.46,-93469613.0,-20.68,-78522078.0,-17.38,-14947535.0,-3.31,24224880.0,5.36,69244733.0,15.32,601225
