stock_code,report_date,bps,roe,name
300493,2022-06-30,1.929318067647,3.8,润欣科技
300525,2022-06-30,3.626495336756,-3.48,博思软件
300548,2022-06-30,5.938113392974,4.75,长芯博创
300568,2022-06-30,4.004679510774,3.71,星源材质
300573,2022-06-30,16.648680258248,8.71,兴齐眼药
300576,2022-06-30,3.468177289515,2.97,容大感光
300579,2022-06-30,3.115134042593,0.58,数字认证
300580,2022-06-30,9.263833303802,4.03,贝斯特
300593,2022-06-30,3.503477992968,15.18,新雷能
300595,2022-06-30,4.31332124115,10.97,欧普康视
300598,2022-06-30,6.946600393385,-7.24,诚迈科技
300602,2022-06-30,4.717962059968,-1.51,飞荣达
300607,2022-06-30,5.222070133414,4.53,拓斯达
300613,2022-06-30,8.679417251951,12.35,富瀚微
300618,2022-06-30,16.362723992679,6.14,寒锐钴业
300620,2022-06-30,9.590722178099,3.71,光库科技
300624,2022-06-30,6.556374341395,1.32,万兴科技
300633,2022-06-30,5.861810405321,7.11,开立医疗
300634,2022-06-30,4.903238991187,4.69,彩讯股份
300638,2022-06-30,3.364537648588,9.98,广和通
300641,2022-06-30,3.050546215548,4.01,正丹股份
300655,2022-06-30,3.065809369646,4.39,晶瑞电材
300657,2022-06-30,3.895731059504,-2.28,弘信电子
300660,2022-06-30,10.950774936709,5.45,江苏雷利
300663,2022-06-30,2.397498758326,-0.84,科蓝软件
300666,2022-06-30,7.329420061524,9.29,江丰电子
300672,2022-06-30,8.409870543754,1.41,国科微
300674,2022-06-30,5.377695079685,3.25,宇信科技
300678,2022-06-30,4.04987561611,2.24,中科信息
300682,2022-06-30,6.06486085385,2.96,朗新科技
300685,2022-06-30,3.497154209186,6.31,艾德生物
300687,2022-06-30,5.448495042686,3.06,赛意信息
300693,2022-06-30,4.355672942654,7.78,盛弘股份
300702,2022-06-30,10.890054553437,2.52,天宇股份
300705,2022-06-30,3.370620310003,11.25,九典制药
300723,2022-06-30,6.355214995003,8.02,一品红
300725,2022-06-30,11.623133681942,6.1,药石科技
300726,2022-06-30,9.849995338649,11.01,宏达电子
300738,2022-06-30,2.205219503228,4.66,奥飞数据
300747,2022-06-30,6.984087241467,0.73,锐科激光
300755,2022-06-30,8.62581769239,9.04,华致酒行
300761,2022-06-30,15.085954785332,-2.51,立华股份
300762,2022-06-30,4.181259492832,0.89,上海瀚讯
300768,2022-06-30,4.874172413168,1.28,迪普科技
300770,2022-06-30,13.482973193596,10.64,新媒股份
300772,2022-06-30,5.622149900053,10.08,运达股份
300773,2022-06-30,6.398927461051,6.67,拉卡拉
300775,2022-06-30,5.162292578,11.54,三角防务
300776,2022-06-30,13.549771979494,8.99,帝尔激光
300777,2022-06-30,7.912849896439,7.62,中简科技
300779,2022-06-30,6.586263148842,-0.65,惠城环保
300783,2022-06-30,5.69389857005,3.6,三只松鼠
300809,2022-06-30,9.188219703382,1.9,华辰装备
300811,2022-06-30,10.238068788468,7.65,铂科新材
300820,2022-06-30,8.905119241491,9.13,英杰电气
